datetime;tmp_5897;accesses
01/01/12 00:00;;2738
01/01/12 01:00;;4832
01/01/12 02:00;;4348
01/01/12 03:00;;3113
01/01/12 04:00;;2195
01/01/12 05:00;;1686
01/01/12 06:00;;1489
01/01/12 07:00;;1044
01/01/12 08:00;;1096
01/01/12 09:00;;1578
01/01/12 10:00;;2676
01/01/12 11:00;;3589
01/01/12 12:00;;3877
01/01/12 13:00;;3077
01/01/12 14:00;;3217
01/01/12 15:00;;4819
01/01/12 16:00;;6025
01/01/12 17:00;;5841
01/01/12 18:00;;5116
01/01/12 19:00;;4356
01/01/12 20:00;;3342
01/01/12 21:00;;2639
01/01/12 22:00;;2492
01/01/12 23:00;;1939
02/01/12 00:00;;1204
02/01/12 01:00;;669
02/01/12 02:00;;356
02/01/12 03:00;;318
02/01/12 04:00;;495
02/01/12 05:00;;1173
02/01/12 06:00;;2860
02/01/12 07:00;;4781
02/01/12 08:00;;5745
02/01/12 09:00;;5786
02/01/12 10:00;;5770
02/01/12 11:00;;5889
02/01/12 12:00;;5413
02/01/12 13:00;;4759
02/01/12 14:00;;5659
02/01/12 15:00;;6165
02/01/12 16:00;;6039
02/01/12 17:00;;6228
02/01/12 18:00;;6215
02/01/12 19:00;;5462
02/01/12 20:00;;4127
02/01/12 21:00;;2858
02/01/12 22:00;;2471
02/01/12 23:00;;2019
03/01/12 00:00;;1458
03/01/12 01:00;;837
03/01/12 02:00;;454
03/01/12 03:00;;358
03/01/12 04:00;;515
03/01/12 05:00;;1268
03/01/12 06:00;;3132
03/01/12 07:00;;5780
03/01/12 08:00;;7526
03/01/12 09:00;;8145
03/01/12 10:00;;7557
03/01/12 11:00;;7414
03/01/12 12:00;;6329
03/01/12 13:00;;5475
03/01/12 14:00;;6286
03/01/12 15:00;;6815
03/01/12 16:00;;6597
03/01/12 17:00;;6895
03/01/12 18:00;;6867
03/01/12 19:00;;6139
03/01/12 20:00;;4747
03/01/12 21:00;;3250
03/01/12 22:00;;2976
03/01/12 23:00;;2638
04/01/12 00:00;;1782
04/01/12 01:00;;988
04/01/12 02:00;;569
04/01/12 03:00;;362
04/01/12 04:00;;499
04/01/12 05:00;;1168
04/01/12 06:00;;2954
04/01/12 07:00;;5748
04/01/12 08:00;;7738
04/01/12 09:00;;8559
04/01/12 10:00;;7923
04/01/12 11:00;;7566
04/01/12 12:00;4.3;6661
04/01/12 13:00;3.9;5787
04/01/12 14:00;3.3;6630
04/01/12 15:00;5.3;7108
04/01/12 16:00;7.0;6896
04/01/12 17:00;6.2;7271
04/01/12 18:00;5.6;7350
04/01/12 19:00;7.1;7159
04/01/12 20:00;9.6;5187
04/01/12 21:00;9.1;3679
04/01/12 22:00;5.5;3391
04/01/12 23:00;3.0;3075
05/01/12 00:00;3.0;2133
05/01/12 01:00;2.7;1156
05/01/12 02:00;3.1;645
05/01/12 03:00;3.2;386
05/01/12 04:00;3.1;547
05/01/12 05:00;3.2;1236
05/01/12 06:00;3.1;3002
05/01/12 07:00;2.6;5683
05/01/12 08:00;2.5;7708
05/01/12 09:00;2.5;9220
05/01/12 10:00;3.8;9425
05/01/12 11:00;5.8;8689
05/01/12 12:00;8.3;7349
05/01/12 13:00;9.6;6441
05/01/12 14:00;11.1;7251
05/01/12 15:00;11.3;7978
05/01/12 16:00;10.9;7975
05/01/12 17:00;9.0;8220
05/01/12 18:00;8.3;7859
05/01/12 19:00;8.4;7222
05/01/12 20:00;8.5;6103
05/01/12 21:00;8.2;4075
05/01/12 22:00;8.3;3901
05/01/12 23:00;9.1;3819
06/01/12 00:00;8.2;3070
06/01/12 01:00;9.2;1931
06/01/12 02:00;8.6;1152
06/01/12 03:00;8.0;796
06/01/12 04:00;8.8;750
06/01/12 05:00;8.7;923
06/01/12 06:00;7.1;1368
06/01/12 07:00;6.8;1538
06/01/12 08:00;6.9;2123
06/01/12 09:00;7.1;4024
06/01/12 10:00;8.0;6187
06/01/12 11:00;9.4;6926
06/01/12 12:00;10.3;6469
06/01/12 13:00;11.1;5082
06/01/12 14:00;11.8;5654
06/01/12 15:00;11.9;8019
06/01/12 16:00;11.6;8258
06/01/12 17:00;10.7;7584
06/01/12 18:00;9.6;6872
06/01/12 19:00;9.1;6681
06/01/12 20:00;9.2;5517
06/01/12 21:00;9.2;4096
06/01/12 22:00;9.9;4026
06/01/12 23:00;10.3;4279
07/01/12 00:00;10.3;3283
07/01/12 01:00;9.9;2173
07/01/12 02:00;8.9;1453
07/01/12 03:00;9.5;912
07/01/12 04:00;10.2;808
07/01/12 05:00;10.3;989
07/01/12 06:00;9.7;1684
07/01/12 07:00;9.0;2182
07/01/12 08:00;8.3;3090
07/01/12 09:00;7.7;5254
07/01/12 10:00;8.4;7294
07/01/12 11:00;8.7;8127
07/01/12 12:00;8.6;7484
07/01/12 13:00;9.9;6278
07/01/12 14:00;10.5;7098
07/01/12 15:00;10.4;8577
07/01/12 16:00;10.6;9070
07/01/12 17:00;9.8;8601
07/01/12 18:00;8.6;7778
07/01/12 19:00;8.1;7582
07/01/12 20:00;8.1;6531
07/01/12 21:00;8.3;4687
07/01/12 22:00;8.4;4955
07/01/12 23:00;7.3;5714
08/01/12 00:00;6.5;4543
08/01/12 01:00;6.1;2955
08/01/12 02:00;5.8;1926
08/01/12 03:00;5.7;1164
08/01/12 04:00;5.4;865
08/01/12 05:00;4.8;827
08/01/12 06:00;4.3;1283
08/01/12 07:00;4.8;1388
08/01/12 08:00;6.7;1970
08/01/12 09:00;7.9;3972
08/01/12 10:00;10.3;6136
08/01/12 11:00;12.3;6843
08/01/12 12:00;13.2;6929
08/01/12 13:00;15.6;5672
08/01/12 14:00;17.0;6587
08/01/12 15:00;16.8;8705
08/01/12 16:00;16.2;8914
08/01/12 17:00;14.0;9255
08/01/12 18:00;13.1;8401
08/01/12 19:00;12.3;7825
08/01/12 20:00;12.2;5639
08/01/12 21:00;12.0;4021
08/01/12 22:00;11.5;3888
08/01/12 23:00;11.1;3025
09/01/12 00:00;10.5;1998
09/01/12 01:00;9.8;948
09/01/12 02:00;9.4;480
09/01/12 03:00;9.5;373
09/01/12 04:00;9.3;582
09/01/12 05:00;8.8;1486
09/01/12 06:00;8.5;4136
09/01/12 07:00;7.4;10180
09/01/12 08:00;7.9;12967
09/01/12 09:00;6.9;11013
09/01/12 10:00;8.6;9343
09/01/12 11:00;10.6;8602
09/01/12 12:00;11.1;7765
09/01/12 13:00;12.5;7694
09/01/12 14:00;12.3;8769
09/01/12 15:00;12.5;9274
09/01/12 16:00;12.4;8800
09/01/12 17:00;11.8;9013
09/01/12 18:00;10.2;9497
09/01/12 19:00;9.2;9234
09/01/12 20:00;8.9;6682
09/01/12 21:00;8.5;4035
09/01/12 22:00;8.4;3483
09/01/12 23:00;7.8;2886
10/01/12 00:00;7.1;1898
10/01/12 01:00;6.2;958
10/01/12 02:00;5.5;489
10/01/12 03:00;5.2;369
10/01/12 04:00;4.8;566
10/01/12 05:00;4.5;1484
10/01/12 06:00;4.5;4103
10/01/12 07:00;4.3;10016
10/01/12 08:00;4.5;13021
10/01/12 09:00;5.0;12643
10/01/12 10:00;6.6;11187
10/01/12 11:00;8.3;9953
10/01/12 12:00;9.4;8986
10/01/12 13:00;11.0;8531
10/01/12 14:00;12.7;9299
10/01/12 15:00;14.9;9771
10/01/12 16:00;15.8;9711
10/01/12 17:00;14.2;9576
10/01/12 18:00;11.6;9659
10/01/12 19:00;10.3;9743
10/01/12 20:00;8.9;7805
10/01/12 21:00;8.4;4878
10/01/12 22:00;8.6;4047
10/01/12 23:00;7.7;3667
11/01/12 00:00;6.6;2547
11/01/12 01:00;6.4;1189
11/01/12 02:00;7.0;608
11/01/12 03:00;7.0;454
11/01/12 04:00;6.1;606
11/01/12 05:00;5.3;1387
11/01/12 06:00;5.3;4085
11/01/12 07:00;5.8;10199
11/01/12 08:00;6.1;12495
11/01/12 09:00;5.4;12626
11/01/12 10:00;7.4;11417
11/01/12 11:00;9.3;10346
11/01/12 12:00;10.8;9379
11/01/12 13:00;11.1;8963
11/01/12 14:00;11.3;9515
11/01/12 15:00;11.7;10038
11/01/12 16:00;11.6;9642
11/01/12 17:00;10.5;9594
11/01/12 18:00;9.2;10069
11/01/12 19:00;8.6;10480
11/01/12 20:00;8.2;8884
11/01/12 21:00;7.6;5234
11/01/12 22:00;7.2;4390
11/01/12 23:00;7.1;4294
12/01/12 00:00;6.8;2842
12/01/12 01:00;6.1;1445
12/01/12 02:00;6.0;739
12/01/12 03:00;5.6;542
12/01/12 04:00;5.5;682
12/01/12 05:00;4.9;1484
12/01/12 06:00;4.9;3944
12/01/12 07:00;4.7;9948
12/01/12 08:00;5.2;12957
12/01/12 09:00;5.7;12849
12/01/12 10:00;6.3;11482
12/01/12 11:00;8.0;10453
12/01/12 12:00;10.6;9783
12/01/12 13:00;11.6;9052
12/01/12 14:00;11.5;10094
12/01/12 15:00;10.5;10351
12/01/12 16:00;10.1;10257
12/01/12 17:00;9.7;9760
12/01/12 18:00;8.6;10378
